x,timestamps
678,1762472465.0788302
679,1762472465.0788302
680,1762472465.0788302
681,1762472465.0788302
682,1762472465.0788302
683,1762472465.0788302
684,1762472465.0788302
685,1762472465.0788302
686,1762472465.0788302
687,1762472465.0788302
688,1762472465.0788302
689,1762472465.0788302
690,1762472465.0788302
691,1762472465.0788302
692,1762472465.0788302
693,1762472465.0788302
694,1762472465.0788302
695,1762472465.0788302
696,1762472465.0788302
697,1762472465.0788302
698,1762472465.0788302
699,1762472465.0788302
700,1762472465.0788302
701,1762472465.0788302
702,1762472465.0788302
703,1762472465.0788302
704,1762472465.0788302
705,1762472465.0788302
706,1762472465.0788302
707,1762472465.0788302
708,1762472465.0788302
709,1762472465.0788302
710,1762472465.0788302
711,1762472465.0788302
712,1762472465.0788302
713,1762472465.0788302
714,1762472465.0788302
715,1762472465.0788302
716,1762472465.0788302
717,1762472465.0788302
718,1762472465.0788302
719,1762472465.0788302
720,1762472465.0788302
721,1762472465.0788302
722,1762472465.0788302
723,1762472465.0788302
724,1762472465.0788302
725,1762472465.0788302
726,1762472465.0788302
727,1762472465.0788302
728,1762472465.0788302
729,1762472465.0788302
730,1762472465.0788302
731,1762472465.0788302
732,1762472465.0788302
733,1762472465.0788302
734,1762472465.0788302
735,1762472465.0788302
736,1762472465.0788302
737,1762472465.0788302
738,1762472465.0788302
739,1762472465.0788302
740,1762472465.0788302
741,1762472465.0788302
742,1762472465.0788302
743,1762472465.0788302
744,1762472465.0788302
745,1762472465.0788302
746,1762472465.0788302
747,1762472465.0788302
748,1762472465.0788302
749,1762472465.0788302
750,1762472465.0788302
751,1762472465.0788302
752,1762472465.0788302
753,1762472465.0788302
754,1762472465.0788302
755,1762472465.0788302
756,1762472465.0788302
757,1762472465.0788302
758,1762472465.0788302
759,1762472465.0788302
760,1762472465.0788302
761,1762472465.0788302
762,1762472465.0788302
763,1762472465.0788302
764,1762472465.0788302
765,1762472465.0788302
766,1762472465.0788302
767,1762472465.0788302
768,1762472465.0788302
769,1762472465.0788302
770,1762472465.0788302
771,1762472465.0788302
772,1762472465.0788302
773,1762472465.0788302
774,1762472465.0788302
775,1762472465.0788302
776,1762472465.0788302
777,1762472465.0788302
778,1762472465.0788302
779,1762472465.0788302
780,1762472465.0788302
781,1762472465.0788302
782,1762472465.0788302
783,1762472465.0788302
784,1762472465.0788302
785,1762472465.0788302
786,1762472465.0788302
787,1762472465.0788302
788,1762472465.0788302
789,1762472465.0788302
