frame_index,timestamp_sec
119,1767060881.5417035
120,1767060881.6083734
121,1767060881.6083734
122,1767060881.6083734
123,1767060881.6083734
124,1767060881.975054
125,1767060882.0083878
126,1767060882.0417228
127,1767060882.0750573
128,1767060882.108391
129,1767060882.141726
130,1767060882.1750607
131,1767060882.2083957
132,1767060882.2417295
133,1767060882.2750642
134,1767060882.308399
135,1767060882.308399
136,1767060882.3750677
137,1767060882.3750677
138,1767060882.5084054
139,1767060882.5084054
140,1767060882.6750824
141,1767060882.7417526
142,1767060882.7750883
143,1767060882.7750883
144,1767060882.8750942
145,1767060882.9084296
146,1767060882.9750998
147,1767060883.0084355
148,1767060883.041771
149,1767060883.041771
150,1767060883.1417768
151,1767060883.1417768
152,1767060883.208447
153,1767060883.2417824
154,1767060883.2417824
155,1767060883.3084536
156,1767060883.3084536
157,1767060883.4084592
158,1767060883.441794
159,1767060883.5084648
160,1767060883.5418007
161,1767060883.608469
162,1767060883.608469
163,1767060883.608469
164,1767060883.8084738
165,1767060883.8084738
166,1767060883.8751428
167,1767060883.9418108
168,1767060883.9418108
169,1767060884.0418139
170,1767060884.0418139
171,1767060884.1418161
172,1767060884.1751494
173,1767060884.1751494
174,1767060884.2418182
175,1767060884.2418182
176,1767060884.2418182
177,1767060884.34182
178,1767060884.441822
179,1767060884.4751563
180,1767060884.5084906
181,1767060884.5084906
182,1767060884.5751584
183,1767060884.6084929
184,1767060884.6418273
185,1767060884.675161
186,1767060884.675161
187,1767060884.7418296
188,1767060884.7418296
189,1767060884.8418317
190,1767060884.8418317
191,1767060884.8418317
192,1767060885.0085027
193,1767060885.041836
194,1767060885.0751705
195,1767060885.0751705
196,1767060885.2085066
197,1767060885.2085066
198,1767060885.2751741
199,1767060885.3085084
200,1767060885.3418424
201,1767060885.375177
202,1767060885.375177
203,1767060885.5085118
204,1767060885.5085118
205,1767060885.608515
206,1767060885.6418486
207,1767060885.7418518
208,1767060885.7418518
209,1767060885.7418518
210,1767060885.9085217
211,1767060885.941856
212,1767060885.941856
213,1767060886.0085237
214,1767060886.0085237
215,1767060886.0751922
216,1767060886.1085253
217,1767060886.1085253
218,1767060886.2085283
219,1767060886.2751958
220,1767060886.30853
221,1767060886.30853
222,1767060886.30853
223,1767060886.5085332
224,1767060886.575202
225,1767060886.575202
226,1767060886.708538
227,1767060886.708538
228,1767060886.708538
229,1767060886.8085399
230,1767060886.8085399
231,1767060886.8085399
232,1767060886.9085414
233,1767060886.9085414
234,1767060886.975209
235,1767060887.008543
236,1767060887.0418773
237,1767060887.0752115
238,1767060887.0752115
239,1767060887.1418786
240,1767060887.1752129
241,1767060887.208546
242,1767060887.2418802
243,1767060887.2752142
244,1767060887.3085482
245,1767060887.3752153
246,1767060887.3752153
247,1767060887.4752164
248,1767060887.4752164
249,1767060887.5752187
250,1767060887.6085532
251,1767060887.6418877
252,1767060887.675222
253,1767060887.7085555
254,1767060887.7085555
255,1767060887.8085573
256,1767060887.8752258
257,1767060887.8752258
258,1767060887.8752258
259,1767060887.9752278
260,1767060888.008562
261,1767060888.0418963
262,1767060888.0752294
263,1767060888.0752294
264,1767060888.141898
265,1767060888.1752312
266,1767060888.2085655
267,1767060888.2085655
268,1767060888.2752337
269,1767060888.2752337
270,1767060888.3419008
271,1767060888.375235
272,1767060888.4752364
273,1767060888.5085707
274,1767060888.5085707
275,1767060888.5752392
276,1767060888.6085742
277,1767060888.6419091
278,1767060888.6419091
279,1767060888.7085779
280,1767060888.7085779
281,1767060888.7085779
282,1767060888.9752548
283,1767060889.0085895
284,1767060889.0085895
285,1767060889.0752583
286,1767060889.141927
287,1767060889.1752617
288,1767060889.2085965
289,1767060889.2085965
290,1767060889.2085965
291,1767060889.408603
292,1767060889.408603
293,1767060889.5086062
294,1767060889.5086062
295,1767060889.575276
