frame_idx,timestamp,relative_time
85,1763403304.0238342,3.2356581687927246
86,1763403304.0238342,3.2356581687927246
87,1763403304.0905468,3.30237078666687
88,1763403304.123903,3.3357269763946533
89,1763403304.1572592,3.3690831661224365
90,1763403304.1906154,3.4024393558502197
91,1763403304.257331,3.4691548347473145
92,1763403304.2906885,3.5025124549865723
93,1763403304.3240461,3.53587007522583
94,1763403304.3574038,3.569227695465088
95,1763403304.3907614,3.6025853157043457
96,1763403304.4241192,3.6359431743621826
97,1763403304.4574769,3.6693007946014404
98,1763403304.4908342,3.702658176422119
99,1763403304.5241919,3.736015796661377
100,1763403304.5575495,3.7693734169006348
101,1763403304.5909073,3.8027312755584717
102,1763403304.624265,3.8360888957977295
103,1763403304.6576226,3.8694465160369873
104,1763403304.6909802,3.902804136276245
105,1763403304.724338,3.936161994934082
106,1763403304.757696,3.969519853591919
107,1763403304.7910535,4.002877473831177
108,1763403304.8244112,4.036235094070435
109,1763403304.8577688,4.069592714309692
110,1763403304.8911264,4.10295033454895
111,1763403304.924484,4.136307954788208
112,1763403304.9578419,4.169665813446045
113,1763403304.9911995,4.203023433685303
114,1763403305.024557,4.2363810539245605
115,1763403305.0579147,4.269738674163818
116,1763403305.0912724,4.303096294403076
117,1763403305.1246305,4.336454391479492
118,1763403305.157988,4.36981201171875
119,1763403305.157988,4.36981201171875
120,1763403305.2247026,4.436526536941528
121,1763403305.2580595,4.469883441925049
122,1763403305.2914162,4.50324010848999
123,1763403305.2914162,4.50324010848999
124,1763403305.3581302,4.56995415687561
125,1763403305.3914871,4.603311061859131
126,1763403305.4248438,4.636667728424072
127,1763403305.4582007,4.670024633407593
128,1763403305.4915576,4.703381538391113
129,1763403305.5249145,4.736738443374634
130,1763403305.5582712,4.770095109939575
131,1763403305.6249852,4.836809158325195
132,1763403305.658342,4.870165824890137
133,1763403305.6916988,4.903522729873657
134,1763403305.7250557,4.936879634857178
135,1763403305.7584124,4.970236301422119
136,1763403305.7917693,5.00359320640564
137,1763403305.8251262,5.03695011138916
138,1763403305.8584828,5.070306777954102
139,1763403305.8918397,5.103663682937622
140,1763403305.9251966,5.137020587921143
141,1763403305.9585536,5.170377492904663
142,1763403305.9919102,5.2037341594696045
143,1763403306.0252671,5.237091064453125
144,1763403306.0586238,5.270447731018066
145,1763403306.0919807,5.303804636001587
146,1763403306.1253374,5.337161302566528
147,1763403306.1586943,5.370518207550049
148,1763403306.192051,5.40387487411499
149,1763403306.2254086,5.437232494354248
150,1763403306.2587657,5.470589637756348
151,1763403306.292123,5.503947019577026
152,1763403306.3254802,5.537304162979126
153,1763403306.3588376,5.570661544799805
154,1763403306.392195,5.604018926620483
155,1763403306.4255521,5.637376070022583
156,1763403306.4589097,5.670733690261841
157,1763403306.492267,5.70409083366394
158,1763403306.5256243,5.737448215484619
159,1763403306.5589814,5.770805358886719
160,1763403306.5589814,5.770805358886719
161,1763403306.6590536,5.870877504348755
162,1763403306.692411,5.904234886169434
163,1763403306.725768,5.937592029571533
164,1763403306.7591255,5.970949411392212
165,1763403306.7924826,6.0043065547943115
